,標題,版主,日期,時間,觀看數,留言
2370,【情報】第16彈卡包《那塔拉崩壞》追加卡情報公開(全數公開),hayashitn,05/19,18:04,52k,180
2371,【情報】5月21日伺服器維護時卡片調整公告,gowofmath666,05/19,17:29,10k,88
2372,【情報】那塔拉崩壞擴充卡包追加主戰者異畫卡~~安鎳兒,etuankonechi,05/19,13:14,11k,58
2373,【心得】【皇家】【5/16更新牌組】【指定大賽-4勝挺進A組決賽】迅雷進化皇~重返榮耀~!!,lovelyslowly,05/19,04:44,5232,15
2374,【討論】各位覺得每次大賽打出怎樣的成績就算是可以接受的?,wwwww2323,05/19,01:03,3035,46
2375,本討論串已無文章,lovelyslowly,05/18,17:49,108,5
2376,【心得】170勝無限皇家GM！半無敵進化皇（WUP無限制）,jackchang211,05/18,16:18,6237,8
2377,本討論串已無文章,darkdeath01,05/18,13:54,63,2
2378,本討論串已無文章,RainTo,05/18,12:09,382,1
2379,本討論串已無文章,IANfan891112,05/18,11:55,42,1
2380,本討論串已無文章,hayashitn,05/18,11:33,166,3
2381,【閒聊】對於SV改強舊虹的期待 只是想聊聊:),Kuuj,05/18,09:36,4020,11
2382,【閒聊】大賽意外多主教？,FELT6665,05/17,19:11,1980,9
2383,【心得】讚美峰頂，一天十場鹹魚上GM,Morgan0303,05/17,15:08,4560,14
2384,【動畫】《闇影詩章》第五話集中討論串,asd900606,05/16,23:04,8058,41
2385,【閒聊】【自創】創作卡包 時境交錯 沒卡圖 文字多 慎入,tetsuya01025,05/16,18:08,1234,11
2386,【情報】【5月21日 12:30 ～ 16:00（GMT+8）】配合版本更新實施伺服器維護公告,ccuu1277,05/15,23:03,7337,0
2387,【動畫】《闇影詩章》第六話集中討論串,seamus2,05/15,17:04,8040,29
2388,【問題】請問剛毅的武士怎麼解,wl03077168,05/14,20:35,5025,37
2389,首篇已刪,hayashitn,05/14,20:02,687,3
2390,本討論串已無文章,Liujohnny,05/14,19:20,43,0
2391,首篇已刪,hayashitn,05/14,18:42,1111,29
2392,【心得】無限制伊米涅頂峰教，M區7000分,s5555432,05/14,12:39,3283,21
2393,【問題】請問現在的指定節奏,Sd5216,05/14,00:27,3010,24
2394,首篇已刪,r28588449,05/14,00:03,2874,44
2395,【翻譯】動畫《闇影詩章》片尾主題曲「ハピネス*センセーション」,nk940155,05/13,11:41,1378,2
2396,【動畫】《闇影詩章》第三話集中討論串,asd900606,05/12,22:13,10k,49
2397,【動畫】《闇影詩章》第二話集中討論串,asd900606,05/12,15:43,13k,53
2398,【問題】大家覺得這版自己的哪個牌組最穩定推薦一下,ray94011,05/12,14:48,2958,78
2399,【心得】百鬼死分享,hayashitn,05/11,18:10,3919,11
2400,【閒聊】從聲優...還有其他規則來看追加卡的可能性 ver. WUP,hayashitn,05/10,21:38,2342,24
2401,【問題】求指定低費牌組,Zxc798012,05/10,20:02,1648,24
2402,【閒聊】希望TOKEN 卡也能出個異畫版本,tetsuya01025,05/10,19:12,1209,8
2403,本討論串已無文章,P87peter0418,05/10,16:57,14,0
2404,【問題】遊戲玩了一段時間終於遇到問題啦...,william1215,05/09,18:36,1159,6
2405,【攻略】時代的反抗者 無限制死靈第一位的機械中速死！,gowofmath666,05/09,02:57,3906,38
2406,【討論】WUP 無限制盃A組討論串,naick692514,05/09,00:07,13k,78
2407,【閒聊】上M的時間長短,wwwww2323,05/08,22:56,1906,26
2408,【閒聊】卡組分享：成為莫迪凱的忠實信徒吧！,f85011097000,05/08,22:40,1885,8
2409,【討論】不曉得各位打牌的時候有沒有出現很想提醒對面的衝動,tsao10036924,05/08,21:40,2115,25
2410,【問題】剛回鍋 想請問那些虹卡是廢卡,dream90910,05/08,15:31,2251,41
2411,本討論串已無文章,miro21971392,05/08,12:46,44,3
2412,【閒聊】拯救偽神跟西風大兵,a930359,05/08,11:36,1306,15
2413,【問題】巫師的牌組搭配,gowofmath666,05/07,00:02,1744,16
2414,首篇已刪,sysop,05/06,20:31,536,68
2415,【心得】WLD版本無限制棄牌龍分享(龍爪&魔海),howardnbsm,05/05,01:49,1025,7
2416,首篇已刪,hayashitn,05/04,23:30,265,2
2417,【討論】《那塔拉的崩壞》主教職業相關討論串,x0614hsiang,05/04,01:29,7358,7
2418,【問題】請問手機（android)版本的能夠用60fps玩嗎,sumfev,05/03,21:26,722,2
2419,【情報】SCL第七屆國際邀請賽海選，5/3 晚上7點 4強轉播,n898989,05/03,16:42,731,2
2420,【繪圖】露娜想交朋友～❤,a90345,05/03,07:56,1212,6
2421,首篇已刪,Liujohnny,05/02,13:38,918,20
2422,本討論串已無文章,jjj80184,05/02,11:03,52,1
2423,【心得】一路雙M心得文(順便問爬GM這版難爬嗎？),jeff60316377,05/02,10:12,1343,19
2424,【心得】T6斬或是被斬——改良型命忒核彈冥府,we355052,05/02,06:52,1883,22
2425,首篇已刪,sysop,05/02,01:40,926,3
2426,【問題】老玩家回鍋疑問,sphigx2003,05/01,13:19,753,16
2427,【問題】關於暫用卡,sphigx2003,05/01,10:57,5573,5
2428,【討論】《極鬥之巔》死靈法師職業相關討論串,www5586yoyo,05/01,00:33,27k,31
2429,【問題】回鍋新手 請教指定吸血鬼,mltc1220,04/30,21:58,448,1
2430,【問題】無限制 ---- 隱藏皇 / 快皇 (回鍋牌組建議),ykj0125,04/30,19:11,616,22
2431,【分享】板上改圖創作手機檔  / 客製化轉檔 / 0.03%系列主戰者更新中,ben971039991,04/30,10:13,82k,374
2432,【心得】無限制GM3心得分享(中速巫)_0425_GM1更新,james850402,04/30,07:03,3822,29
2433,本討論串已無文章,evankuo838,04/30,02:32,214,22
2434,本討論串已無文章,Sengasd01,04/29,05:23,5,1
2435,【問題】(問題) 中立妖還能再無限制存活嗎??,ykj0125,04/29,02:12,827,13
2436,【討論】如果SV不是採用類似爐石的職業機制，而是用MTG的顏色機制會更好玩嗎?,balldandyjr2,04/29,00:06,1888,27
2437,首篇已刪,r28588449,04/28,20:23,187,2
2438,【其他】想請問代儲到底可不可以買?,r28588449,04/28,19:25,1040,37
2439,【心得】《那塔拉的崩壞》系列傳說卡語音&翻譯,kyo99,04/27,19:18,5135,10
2440,【問題】無限制,wwwww2323,04/27,01:40,1100,27
2441,【情報】舉辦大賽「WUP 無限制盃」公告 (4/28 伺服器維修後 ~5/9 03:59),kagerou0127,04/26,16:13,450,10
2442,【討論】「CINDERELLA GIRLS Cup」大賽A組分享串,Remila,04/26,09:02,21k,188
2443,【其他】關於大會模式,a930359,04/25,18:13,446,2
2444,【情報】【情報】SCL4月盃!! 4/5、4/12、4/19、4/26 （4/26第四週報名中）,n898989,04/24,21:35,1355,4
2445,首篇已刪,hayashitn,04/24,13:20,567,7
2446,【情報】【4月28日 13:30 ～ 15:30（GMT+8）】配合版本更新實施伺服器維護公告,ufolove,04/24,05:04,391,6
2447,【攻略】前前前朝餘孽 機械吸 疑變成T1了!,sdfcsvawrw,04/23,23:57,3636,13
2448,【攻略】無情的洗錢機器 a組大賽20戰19勝,akiral964939,04/23,23:13,1292,13
2449,【問題】請問該如何有效率的組出想玩得牌組,kennyzz105,04/23,21:05,578,11
2450,【繪圖】接頭霸王,angry9565,04/23,16:43,1212,9
2451,【問題】小梅有BUG?(已解決),s87699885,04/23,16:29,561,25
2452,【閒聊】等等太快了啦！?露娜會被玩壞啦！,SongWhereJay,04/23,12:19,1078,7
2453,【問題】關於本賽季雷維翁皇,eli51096,04/23,11:14,696,9
2454,【攻略】再啟動全程機械皇家GM奮鬥心得(圖文多內含影片),f56565566,04/23,02:45,1559,20
2455,【心得】新卡包的托特死,Sc90712,04/22,22:26,1239,14
2456,【繪圖】預視死期者‧格莫瑞,iiseven,04/22,20:51,1511,5
2457,【心得】《典範復仇者》打法教學,a19960111,04/22,19:48,1914,27
2458,【討論】「CINDERELLA GIRLS Cup」大賽B組分享串,Barry123abc,04/22,18:59,362,8
2459,【問題】新手玩家       請各位大大幫審卡一下QAQ,ra41305,04/22,17:25,325,8
2460,【問題】回鍋SV後的絕望歷程（更新影片）,papanono,04/22,15:46,4460,86
2461,【問題】希望SV未來的更新,double0435,04/22,13:40,3070,60
2462,【情報】部分功能無法正常運作之異常公告,XD880209,04/21,20:33,1202,24
2463,【密技】【新手/回鍋向】SV全卡片能力關鍵字解說(2020 Ver.),Liujohnny,04/21,15:25,8374,49
2464,本討論串已無文章,de052655039,04/21,06:33,0,0
2465,【心得】遊戲時數565hr 勝場數690 終於上Master心路歷程 (文稍長 圖多 樓主極菜 慎入,witch25311,04/21,00:18,981,18
2466,【討論】《驗證》愛之歌演唱者的能力無傷實測,fzw1222,04/20,21:59,752,3
2467,首篇已刪,hayashitn,04/20,20:10,474,3
2468,【問題】回坑新手，想問我還能組什麼牌組,zmzzmz111,04/20,18:10,548,4
2469,本討論串已無文章,zmzzmz111,04/20,18:05,4,0
2470,【心得】指定最強上限!號稱目前最難上手牌組-控妖(三樓新增甲妖簡易流程),leozzx,04/20,00:32,5548,44
2471,《闇影詩章》第16彈新卡包發行紀念巴哈姆特合作活動,hayashitn,04/19,18:58,47k,766
2472,【問題】誠心發問，現在版本的指定環境有什麼可解任務的牌組嗎?(主教、皇家),SuperGamer,04/18,16:59,877,36
2473,本討論串已無文章,QLOKOHO,04/18,10:16,41,0
2474,【心得】優雅與自信的絕對牌組-自然渴望控制吸血鬼 (更新天梯連勝紀錄),jason1344,04/18,02:55,4479,42
2475,【閒聊】一年後了，我大皇家脫離下水道了嗎,tony28772386,04/18,01:32,2438,67
2476,【閒聊】莫諾跟大叔互相嘴砲的一場對局,A0935861377,04/17,23:31,1535,7
2477,首篇已刪,hayashitn,04/17,17:47,403,4
2478,本討論串已無文章,zmzzmz111,04/17,12:06,32,0
2479,【情報】動畫《闇影詩章》無字幕 片頭、片尾主題曲,swallow9,04/17,09:39,1022,1
2480,【心得】異軍突起?! 指定16連勝直傷快鬼 (2樓增加新構築、重點單卡解析),ho89609,04/17,02:28,2839,24
2481,本討論串已無文章,de052655039,04/17,02:09,150,0
2482,【心得】在亂世之中保住手機—論WUP的死靈法師,aliado12,04/17,00:47,1196,51
2483,首篇已刪,hayashitn,04/16,18:49,172,5
2484,【問題】關於現在的蟲控妖起手抓牌,zhong10034,04/16,16:00,1774,43
2485,【問題】請問哪些傳說牌能拆,z11235813213,04/16,02:38,1946,15
2486,【閒聊】忽然發現......,aaa900314,04/15,23:49,1616,18
2487,【心得】機械妖PP魔術,Lsdon,04/15,14:38,812,5
2488,【攻略】一日GM-新版本主流天敵凱留法! (已達成),sky3845381nm,04/15,00:36,8069,53
2489,"【問題】請問各位大佬們，這對局你們怎麼解(4/13,4樓已有新牌組",SongWhereJay,04/14,15:59,1350,26
2490,【情報】舉辦大賽「CINDERELLA GIRLS Cup」公告（4/16 14:00 ~4/27 03:59）,ccuu1277,04/14,15:33,922,18
2491,【心得】機械吸!!真的很穩又很強,aassdd210129,04/14,05:26,1770,36
2492,【心得】《極鬥之巔》系列傳說卡語音＆翻譯,kyo99,04/13,05:53,9492,23
2493,【心得】《森羅咆哮》系列傳說卡語音&翻譯,kyo99,04/13,05:31,3371,11
2494,【心得】【無限制吸血鬼】吸血鬼GM,Laurelyoland,04/12,23:52,2622,37
2495,【心得】指定機械吸GM,kevin20300,04/12,23:42,1210,10
2496,【問題】龍族打黑皮喵太,allenqazws,04/12,22:50,632,13
2497,【心得】無限制極限快皇,anatoxin1,04/12,21:32,7480,38
2498,【問題】回坑玩家求建議,cnsmin,04/12,12:02,1561,12
2499,首篇已刪,hayashitn,04/12,08:30,607,9
2500,【問題】回鍋玩家求幫助,etuankonechi,04/12,00:02,1278,13
2501,【問題】回鍋三天心得與請益,asssasssas,04/11,20:25,1672,53
2502,【問題】請教一些這遊戲的問題,gowofmath666,04/09,22:21,5391,58
2503,本討論串已無文章,unknown12366,04/09,14:27,524,4
2504,【流星雨】中速王者再臨——WUP版本AF復仇者操作指南,Liujohnny,04/09,00:33,5261,65
2505,首篇已刪,hayashitn,04/08,19:44,2102,6
2506,【攻略】分享各位是如何解金色皮喵太的任務吧,smallboy0815,04/08,18:20,24k,98
2507,【心得】好像沒什麼人在玩機械吸，指定機械吸心得分享,xs2523374,04/08,15:12,3064,37
2508,首篇已刪,hayashitn,04/08,15:10,495,3
2509,【心得】機械仇官方認定大魔王無誤,azxazx3,04/08,13:58,3671,30
2510,【心得】『指定GM』 環境假想敵 機械吸 指定最高斬殺線,ufolove,04/08,04:31,2146,22
2511,【問題】回鍋玩家求建議....,mulinnwww,04/08,03:09,967,12
2512,【心得】指定純龍族GM1 地鐵神自然龍 (那塔拉崩壞),gcblastia,04/08,01:06,4350,30
2513,【GM心得】最速6T空場滿血斬18勝6敗，可愛又好玩，全程OTK耶拉月兔妖GM。主教無限制牌組轉發,anatoxin1,04/08,00:10,5519,17
2514,本討論串已無文章,A789459,04/07,21:18,33,0
2515,【問題】回鍋玩家,alan12332111,04/07,20:16,804,2
2516,【刪除】hayashitn：板上已有相同內容之文章(不倒扣刪文),kanonhg,04/07,17:16,486,5
2517,【問題】新手回鍋,lst10103,04/07,02:57,1945,21
2518,【問題】quest 主題牌組任務,a26493741,04/06,11:32,1728,3
2519,【情報】想必大家一定都有開局抽卡的困擾吧？,A0935861377,04/05,22:52,3930,16
2520,【問題】賽事牌組,ccccc2229513,04/05,19:53,1684,3
2521,本討論串已無文章,Peeyie,04/05,19:29,3,0
2522,【公告】《闇影詩章》動畫開播前板上發文事項宣導,hayashitn,04/05,18:40,4142,1
2523,【心得】全程皇家GM達成！自然進化皇（WUR指定）,k0862,04/05,17:43,3543,11
2524,首篇已刪,hayashitn,04/05,11:48,705,8
2525,【情報】4/4號褲子崩壞盃,khamrai,04/05,01:39,3524,37
2526,首篇已刪,sysop,04/04,23:31,2156,17
2527,【心得】無限制棄牌龍—五費蛇頸龍，經常OTK的快樂牌組,sphigx2003,04/04,19:24,4489,16
2528,首篇已刪,hayashitn,04/04,18:02,2424,25
2529,首篇已刪,hayashitn,04/04,17:51,3847,60
2530,【心得】兒童節就來畫婆,death66666,04/04,17:15,1776,14
2531,【閒聊】關於金色皮喵太遇上剛毅卓絕的武士,tmh2009,04/04,12:56,2351,7
2532,【閒聊】如果Shadowverse有內部會議(純玩梗),A0935861377,04/04,12:54,2410,9
2533,【問題】關於粉色皮喵太的任務,zx0919939167,04/04,12:31,1340,9
2534,【心得】魔獸女帝加入後的進化吸血鬼,s12312371005,04/04,12:22,4386,9
2535,【閒聊】各位高手來分享逆轉勝吧！,kirby0428,04/04,12:15,79k,409
2536,【心得】機械教-久違的主教高上限全能牌組,piano890424,04/03,21:34,8260,33
2537,【情報】動畫《闇影詩章 Shadowverse》開播倒數宣傳圖,nk940155,04/03,18:07,2017,6
2538,【問題】閃卡問題,jim135175557,04/03,17:52,914,4
2539,【心得】Quest 2 全成就 卡組推薦,iamjohne04,04/03,04:11,1228,5
2540,【心得】原來密林真的可以...(改版前記錄,SongWhereJay,04/03,00:19,1783,9
2541,【討論】連砍卡記錄也要天元突破的男人。,love0zxc,04/02,23:26,15k,191
2542,【攻略】金色皮卡丘？的任務解法簡單版本,lzwkasulo,04/02,11:10,1797,4
2543,【問題】關於綠色皮喵的任務,rksann,04/02,10:19,1404,6
2544,【情報】「偶像大師 灰姑娘女孩」Quest 登場公告 3/31～ 4/20 03:59,ufolove,04/02,05:44,5294,22
2545,【問題】如果你被金色皮喵太虐吐了，來看看我幫大家出口氣吧！,jeff60316377,04/02,00:02,4272,14
2546,【閒聊】4Turn斬殺！最新快攻牌組—庭院道具店,bazick10,04/01,23:55,4592,3
2547,【情報】SCL WUP騙水盃邀請賽(4/3火熱開戰),n898989,04/01,23:02,803,0
2548,【閒聊】反叛命運 梗文,Lsdon,04/01,19:56,2286,9
2549,【閒聊】歷代 nerf 一覽表 (2022/1/5更新),diiw,04/01,16:05,18k,86
2550,【問題】粉色的第二個條件要如何達成？,SuperGamer,04/01,16:03,3746,30
2551,【問題】各位覺得鑽頭人會被砍嗎？,samya00,04/01,12:49,7902,46
2552,【心得】新卡包點評~~話說復仇者是不是要T1了？？,sphigx2003,04/01,11:14,8768,75
2553,【問題】天井,tommy891123,04/01,10:14,1081,16
2554,【問題】後花園崩壞-高勝率控制型甲蟲,gam891,04/01,08:13,2153,16
2555,【閒聊】新毒瘤討論區,sky3845381nm,03/31,23:22,10k,26
2556,【乙己】妖乙己,makise210,03/31,19:50,3944,31
2557,【問題】你們知道新的什麽偶像大師合作主戰者是誰嗎？,Lsdon,03/31,19:48,1581,108
2558,[牌組分享]有望T1的泡泡龍,heihei9818,03/31,12:21,3380,55
2559,【問題】活動,nick8693,03/31,11:57,1163,6
2560,【問題】一直顯示資料數據確認中無法進入遊戲...,W2345620,03/30,17:45,474,9
2561,【閒聊】日本YT推薦,kevin881114,03/30,15:46,5061,22
2562,【繪圖】大本命の登場ね,jeff60316377,03/30,11:52,3020,8
2563,【閒聊】我怎麼感覺這次龍族這麼熟悉，又清場又打頭,jeff60316377,03/30,11:48,3126,5
2564,【討論】新卡包的中立766會不會成為下一個愛麗絲？（更新後感想）,Z180,03/29,20:44,4523,26
2565,本討論串已無文章,ufolove,03/29,20:37,177,5
2566,【問題】萌新想問問下次環境預測（如有違規會自行刪文,jeff60316377,03/29,18:46,1936,44
2567,【討論】《那塔拉的崩壞》新卡評價，大家一起來脫褲子吧,yoyo08487487,03/29,17:47,7131,59
2568,【閒聊】花式曬卡搬運,ThiefOrg,03/29,11:47,263,2
2569,【心得】西方速度打法！莫諾的季末狂歡！,Raymondhyper,03/29,09:20,3125,6
2570,【討論】如果用閒聊屬性框會到隱版所以我用了討論之靠每日雙GM,ThiefOrg,03/28,21:11,1457,8
2571,第14彈卡包《森羅咆哮》 卡包分享串,r28588449,03/28,20:42,14k,106
2572,【問題】請問一回合有多少時間出牌?,dream90910,03/28,18:18,1872,13
2573,【閒聊】改版前的機械仇，要不是剛好抽到宙斯就.......,lzwkasulo,03/28,17:50,2375,5
2574,【問題】ipad改畫質,smile55326o,03/28,15:25,638,1
2575,【閒聊】新手的闇影詩章youtuber,loid13579,03/28,14:57,3231,16
2576,【情報】SCL3月盃!! 3/8、3/15、3/22、3/29 （3/29 第4週報名中）,n898989,03/27,19:39,1935,4
2577,【情報】麵包杯#7 (盤子房),sf329sf329,03/27,19:16,576,0
2578,【情報】「Shadowverse」與「偶像大師 灰姑娘女孩」盛大合作！,poinddt,03/27,17:51,10k,35
2579,【閒聊】sv最棒的地方就是卡面很香,lzwkasulo,03/27,16:27,3697,4
2580,【心得】下版本機械妖的可能性,Lsdon,03/27,14:38,2241,46
2581,【閒聊】那塔拉=環境，所以這次卡包是環境的崩壞,wwwww2323,03/27,03:47,5692,25
2582,【情報】3月30日伺服器維護時卡片調整公告,z28679262,03/27,00:33,9810,97
2583,【討論】這次版本更新後的機械死(天鳴巨骸的存在),Ma910304,03/26,23:08,2600,71
2584,【問題】有一些問題,p51555151515,03/26,20:08,564,7
2585,【心得】【無限制GM】水星Buff激發造物潛能？全程造物仇VEC無限制GM,Eric901019,03/26,18:53,9864,36
2586,本討論串已無文章,lzwkasulo,03/26,17:43,981,1
2587,【閒聊】寶石大賽開始了，有沒有遇到很賽的對手啊？,howardwang,03/26,16:12,8704,48
2588,【閒聊】天盾之死，魔獸女帝效果測試,ssss91268sss,03/26,13:58,2706,9
2589,【閒聊】[爆雷注意](´；ω；｀),Didemanx,03/26,10:23,2823,31
2590,【心得】【UCL指定】從水溝裡探出頭---空過創造仇(3/12補齊闕漏),Eric901019,03/25,21:23,3155,11
2591,【心得】玩了2年的闇影詩章!無限制第一次上GM,aassdd210129,03/25,19:40,1026,14
2592,【討論】歡迎大家下載評分新卡,godmoon88420,03/25,19:29,1269,5
2593,【情報】第16彈卡包《那塔拉的崩壞》卡牌情報公開(進度：97張全數公開),a0203022,03/25,16:39,147k,118
2594,【閒聊】露娜有個夢,x36273526,03/25,14:06,1844,6
2595,【情報】新卡包「World Uprooted / 那塔拉的崩壞」開放先行試玩公告,ccuu1277,03/24,20:28,3736,20
2596,【閒聊】皇家的職業能力,iou861007,03/24,16:46,4161,44
2597,【閒聊】【閒聊】【自創】  皇家護衛卡片  隨手創作 平衡什麼我才不管,tetsuya01025,03/24,12:22,1178,4
2598,【閒聊】【吾乃無法觸碰之光輝】一個時代的終結，紀念一下主教永遠的大哥天盾,asssasssas,03/24,11:01,6320,61
2599,【其他】做了個搞得像開車的影片縮圖,anthony01,03/23,23:50,4289,14
2600,首篇已刪,hayashitn,03/23,21:29,304,2
2601,【心得】無限制土印增幅法,heihei9818,03/23,18:54,2181,14
2602,【密技】退環境之時將至，獻上如雷喝采(三) 更新至皇家...,spacezipper,03/22,23:53,3215,11
2603,【閒聊】官方大概認真沒想管無限制吧,duckduck0203,03/22,23:50,4871,59
2604,【閒聊】繼續尋找喜愛闇影詩章的同伴的Youtuber,lzwkasulo,03/22,22:18,1079,0
2605,【情報】舉辦大賽「Gems of Fortune Cup Vol.2」公告,ho328,03/22,09:46,5455,46
2606,【情報】RAGE Shadowverse 2020 Summer 不開放海外選手報名,l31940457,03/21,18:16,1245,0
2607,【討論】《極鬥之巔》主教職業相關討論串,sspyke,03/21,15:09,21k,26
2608,【心得】睡醒的艾拉,jeff60316377,03/21,13:58,1776,1
2609,本討論串已無文章,heihei9818,03/21,13:48,56,0
2610,【討論】暗影詩章有外掛程式嗎?,iou861007,03/20,19:26,3801,17
2611,【情報】【3月25日 23:00 ～ 3月26日已開（GMT+8）】配合版本更新+追加新功能「自訂賽事」公告,ccuu1277,03/20,17:01,4184,23
2612,【心得】鹹魚的無限制詳談,duckduck0203,03/18,17:49,2054,15
2613,首篇已刪,hayashitn,03/18,13:17,1068,6
2614,【討論】《極鬥之巔》巫師職業相關討論串,as6434803,03/18,12:57,30k,40
2615,首篇已刪,hayashitn,03/17,18:29,734,4
2616,【情報】限購3組！極鬥之巔特別組合包特賣公告,ccuu1277,03/17,16:15,2119,12
2617,【心得】休閑玩家上gm心得及雜談,kevin26234,03/17,12:46,2869,1
2618,【問題】關於抽卡包,c9ignite,03/17,07:00,2393,32
2619,【問題】關於快吸的問題(我是新手別鞭太用力),noddy6420,03/17,01:11,1906,13
2620,本討論串已無文章,as6434803,03/16,15:27,614,10
2621,首篇已刪,sysop,03/16,11:54,1758,7
2622,【問題】關於PC版，steam端的帳號連動,SuperGamer,03/16,10:54,2445,4
2623,【閒聊】[直播][妖精] 玫瑰鞭 回鍋,jmss,03/16,07:23,770,0
2624,【心得】大賽A決自然教完敗！空前絕後的自然教0勝（3/16更新新卡簡評,yoyo08487487,03/16,00:19,3279,36
2625,【情報】闇影詩章 登陸 NS 2020發售 『シャドウバース チャンピオンズバトル』,ufolove,03/15,22:45,3369,7
2626,【閒聊】職業構思,ke6699,03/15,20:33,2063,8
2627,本討論串已無文章,Bear42,03/15,17:46,24,1
2628,【情報】第16彈卡包《那塔拉的崩壞》非卡包情報整理,Kathy2007,03/15,14:30,8960,33
2629,【討論】辣個始源巨獸in靠賽盃,saadyang,03/15,03:44,2421,35
2630,【問題】如果剛上某牌的0例如A0第一場如果輸了..,hajimehika,03/14,19:52,1622,6
2631,【問題】皇家和龍族是不是長年指定T1啊?,ymwong,03/14,02:14,4953,85
2632,【問題】回鍋玩家,raybear9487,03/14,01:37,965,9
2633,【討論】指定系列杯A組牌組分享串,Roy030,03/13,23:15,9009,41
2634,【心得】密林妖血汗心得,to1121to,03/13,22:01,3855,26
2635,【心得】里歐德最後的榮光 天梯100場實測心得,amulet0212,03/13,16:25,2225,15
2636,二更【心得】A組決賽優勝拉～進化皇家優勝心得,lake889565,03/13,14:35,1638,11
2637,【問題】關於卡牌的繪師,bob830601,03/13,12:15,1846,15
2638,【心得】版本最強~自然龍心得！,qaz900316sam,03/12,09:15,4523,9
2639,【心得】單抽香啦,SuperGamer,03/12,00:07,537,5
2640,【心得】爬GM用凱留法,hdjerry921,03/11,21:14,4188,16
2641,【情報】冠軍預測活動(3月11日（三）14:00 ～ 3月14日（六）19:59),bsky,03/11,14:06,1898,7
2642,【問題】聖翼白龍,as6434803,03/10,17:20,1435,7
2643,首篇已刪,r28588449,03/10,11:39,162,9
2644,【問題】死靈王之怒 指定23連 附vod,akiral964939,03/10,09:36,2006,9
2645,【問題】最近的排位,as6434803,03/09,15:20,1886,10
2646,【心得】擴充卡精靈龍甲蟲控妖 新手攻略,gay2009123,03/09,14:09,2988,29
2647,【問題】主教巴隆,as6434803,03/08,22:26,1879,17
2648,【問題】新卡包兌換卷,jjj80184,03/08,19:18,2333,5
2649,【其他】捏出你最喜歡的角色吧,diangelo,03/08,17:08,4743,22
2650,首篇已刪,hayashitn,03/08,16:16,890,4
2651,【閒聊】Funny and Lucky Moments | Shadowverse Compilation  #105,X1923a,03/08,12:42,813,1
2652,【心得】無限制-9連勝快吸上GM (5/20更新),maxmaggie31,03/07,04:13,4741,14
2653,【心得】練習~斑比~,death66666,03/06,01:54,1367,0
2654,【實況】今天來玩久違的暗影詩章:D （關台),Mengsheng2,03/05,22:55,2155,14
2655,【攻略】鑒於這次大賽很多的皇家要搞事 所以死靈們 站起來吧!(電腦編排手機黨抱歉),you6330692,03/04,20:53,3451,10
2656,最新一更【攻略】A組優勝皇家【穩定進a組進化皇家】   #覺得靜流很重要想讓白翼必拉,lake889565,03/04,17:24,2973,6
2657,【情報】3月雙人團體比賽Ban Pick 大賽開打!  【 時間變動 】第一場時間更改為3/13 19:00,leozzx,03/03,22:44,894,3
2658,【問題】關於復仇者,flopquite4,03/03,21:15,6320,43
2659,本討論串已無文章,SuperGamer,03/03,19:43,3,0
2660,【討論】《極鬥之巔》復仇者職業相關討論串,a2464750804,03/03,15:31,13k,36
2661,【情報】舉辦大賽「UCL 指定系列盃 Vol.2」公告（3月3日 14:00 ～ 3月14日 03:59）,ccuu1277,03/03,10:18,1459,0
2662,【曬卡】第15彈卡包《極鬥之巔》 卡包分享串,Bear42,03/03,02:48,17k,97
2663,【心得】搭配璃乃的舊甲打贏六苑,lotusasuna,03/01,17:19,1728,5
2664,【密技】(3/1補充實戰)破事水，別嘗試艾莉卡！我已佔據侵蝕優勢！踩著進化皇屍體上分的自然龍,makise210,03/01,04:53,7736,51
2665,【閒聊】好幸運ㅇㅅㅇ,m12041211,02/29,21:40,564,0
2666,【心得】在ES大會尋求美食是否搞錯了什麼  闇影詩章ES大會 in森蘿御界,lattelove456,02/29,20:17,1873,2
2667,【討論】進化皇 vs 自然龍，問最善手,kyd3034,02/29,17:52,2748,18
2668,【情報】配發可於指定系列形式中使用的「暫用卡」公告  指定牌組隨你玩~3/16 下午2點前,y830705,02/29,15:24,6155,32
2669,【閒聊】只要相信自己的牌組，也有法老王時刻,heihei9818,02/29,11:24,327,0
2670,【問題】請問一下這是活動嗎?,r28588449,02/28,18:16,2351,14
2671,本討論串已無文章,a44952354,02/28,17:27,44,1
2672,【討論】《極鬥之巔》皇家護衛職業相關討論串,wpw88123,02/28,12:19,21k,27
2673,【情報】Funny and Lucky Moments | Shadowverse Compilation #93：魔導具專賣店,r28588449,02/28,01:53,3748,7
2674,【討論】《極鬥之巔》吸血鬼職業相關討論串,edward561287,02/27,20:13,12k,33
2675,首篇已刪,r28588449,02/27,20:04,741,9
2676,【情報】SCL x 拳頭邦普 聯合ES大會,bbamic,02/27,19:09,4336,7
2677,【心得】天地侵略篇劇情感想 (有部分劇透慎入,wwwww2323,02/27,13:47,6043,20
2678,首篇已刪,hayashitn,02/27,12:38,1466,35
2679,【問題】純新手的快樂牌組求健檢！,mark0673,02/27,07:17,674,7
2680,本討論串已無文章,ben246810,02/27,02:53,426,2
2681,【問題】一直卡在loading畫面,Originsin,02/27,02:17,418,3
2682,【心得】ULC指定自然半控制牆妖,dces6107,02/26,13:39,3262,24
